group,n,share_of_flights,base_rate,alert_rate,share_of_alerts,recall,fpr,precision,mean_predicted,calibration_error,delay_min_caught_share
FL,410,0.007593858235631865,0.4146341463414634,0.3097560975609756,0.023418771897473722,0.38235294117647056,0.25833333333333336,0.5118110236220472,0.2562719816636936,-0.1583621646777698,0.40748299319727893
EV,8272,0.15321072030523605,0.3062137330754352,0.2379110251450677,0.36289876452148256,0.38176075799447295,0.17442063077191147,0.49136178861788615,0.22835295116677376,-0.07786078190866144,0.4091563372320029
B6,8929,0.1653794150876998,0.2781946466569605,0.18479113002575875,0.30425963488843816,0.28180354267310787,0.1474010861132661,0.42424242424242425,0.2131579846581447,-0.06503666199881578,0.3595277418202919
MQ,3992,0.0739382489674205,0.280811623246493,0.13502004008016033,0.09939148073022312,0.23818019625334522,0.09474050853361198,0.49536178107606677,0.20879490848012794,-0.07201671476636506,0.2641089455973079
9E,3106,0.05752810653627456,0.24629748873148744,0.09336767546683837,0.053475935828877004,0.1830065359477124,0.06407518154634771,0.4827586206896552,0.1874446819744854,-0.058852806757002024,0.24219390263891166
WN,2100,0.038895371450797356,0.3304761904761905,0.06523809523809523,0.02526276968467638,0.13544668587896252,0.03058321479374111,0.6861313868613139,0.16056339804779435,-0.16991279242839613,0.1803261740456437
US,3206,0.05938026708155063,0.17592014971927636,0.026512788521522147,0.01567398119122257,0.0673758865248227,0.017789553368660106,0.4470588235294118,0.13925380415229707,-0.036666345566979286,0.08830425624925486
DL,7905,0.1464132911040729,0.17659709044908287,0.026691967109424414,0.03890835330997603,0.06446991404011461,0.018589645106775233,0.4265402843601896,0.1463317141065555,-0.030265376342527378,0.10347605743616399
UA,9646,0.17865940619732917,0.24901513580758863,0.029649595687331536,0.05273833671399594,0.05661948376353039,0.020706791827719492,0.4755244755244755,0.14710033310153683,-0.1019148027060518,0.08930723252120758
AA,5147,0.09533070326535904,0.20439090732465515,0.018068777928890615,0.017149179420984696,0.03802281368821293,0.012942612942612943,0.43010752688172044,0.13116733992603058,-0.07322356739862457,0.07280155030639501
VX,902,0.016706488118390102,0.2328159645232816,0.005543237250554324,0.0009219988936013276,0.01904761904761905,0.001445086705202312,0.8,0.11481412074211789,-0.11800184378116371,0.05348332346556148
