budget,model_precision,model_recall,model_delay_min_share,hist_delay_min_share,random_delay_min_share,model_net_usd,hist_net_usd,random_net_usd,model_minus_random_usd,model_minus_hist_usd,model_pax_hours,model_co2_kg
0.01,0.6784452296819788,0.028461310406166618,0.04645021952123089,0.020545137821498104,0.01067702791111952,570754.509475,206969.695385,145050.00497787498,425704.504497125,363784.81409,4812.604925000001,63644.4
0.02,0.5745257452574526,0.04713904536021346,0.06988946429462876,0.035223239035105006,0.02087284321375929,853822.06708,361166.855065,284851.986930375,568970.080149625,492655.21201499994,7168.571639999999,95760.0
0.05,0.5086112128984976,0.10287577823895643,0.138314140004887,0.08150530345427363,0.05063813547520894,1708516.2301049998,843650.293385,690481.871201125,1018034.3589038749,864865.9367199999,14654.905214999999,189513.0
0.075,0.4905614121108115,0.14831010969463385,0.1906143178814559,0.11323538298638207,0.07487651109692303,2384353.6421600003,1225789.187555,1022027.9991665,1362325.6429935002,1158564.4546050003,20871.01928,261172.80000000002
0.1,0.47224783330260006,0.18981618737029352,0.24156400009458726,0.14638164376867113,0.09979647320947659,3046732.40119,1637659.1195800002,1361361.6116463752,1685370.789543625,1409073.28161,27015.25877,330982.2
0.15,0.4438976377952756,0.2674177290246072,0.32734937638103945,0.20333236118664955,0.15055136481512135,4215547.35308,2322769.147595,2055343.0609479998,2160204.292132,1892778.2054849998,38556.272639999996,448522.2
0.2,0.41658193918107034,0.33404980729321077,0.3979337941834099,0.2588629562192427,0.20075433327815748,5168597.74621,3040178.720485,2740917.943409,2427679.8028009995,2128419.0257249996,47927.53443,545234.4
0.3,0.37654891806916957,0.45271271864808776,0.5174855031910058,0.3714808946902399,0.3008626159679034,6786993.561250001,4484662.9577,4108197.937392,2678795.623858001,2302330.603550001,63996.62575,709039.8
0.5,0.325311018957346,0.6512007115327602,0.6958047929458935,0.567118846245806,0.5006382668463825,9256490.615370002,7246140.33814,6838194.534660624,2418296.0807093773,2010350.277230002,89495.16271000002,953366.4
1.0,0.24989350076864664,1.0,1.0,1.0,1.0,13660757.019024998,13660757.019024998,13660757.019024998,0.0,0.0,138164.130575,1370163.5999999999
