level,n,actual_rate,mean_pred,roc_auc,calibration_gap,segment
11,26971,0.17351970635126618,0.15968018417203605,0.6974943990656611,-0.013839522179230124,month
12,27020,0.3261287934863064,0.19269601933223282,0.7223850701970551,-0.1334327741540736,month
EWR,19013,0.2686582864355967,0.1780990325618142,0.7136157804792955,-0.0905592538737825,origin
JFK,17568,0.2354280510018215,0.18109887718231163,0.6923934787792771,-0.05432917381950986,origin
LGA,17410,0.24399770246984492,0.16919234401058536,0.7391305696991652,-0.07480535845925956,origin
9E,3106,0.24629748873148744,0.1874446819744854,0.7231276506045962,-0.058852806757002024,carrier
AA,5147,0.20439090732465515,0.13116733992603058,0.6986690854561577,-0.07322356739862457,carrier
B6,8929,0.2781946466569605,0.21315798465814473,0.7010140929879859,-0.06503666199881575,carrier
DL,7905,0.17659709044908287,0.1463317141065555,0.693255613453006,-0.030265376342527378,carrier
EV,8272,0.3062137330754352,0.22835295116677376,0.7247489094467062,-0.07786078190866144,carrier
FL,410,0.4146341463414634,0.2562719816636936,0.7559803921568627,-0.1583621646777698,carrier
MQ,3992,0.280811623246493,0.20879490848012794,0.7385398480172235,-0.07201671476636506,carrier
UA,9646,0.24901513580758863,0.14710033310153683,0.6814751454130576,-0.1019148027060518,carrier
US,3206,0.17592014971927636,0.13925380415229707,0.7393472734496218,-0.036666345566979286,carrier
VX,902,0.2328159645232816,0.11481412074211789,0.6597887420864299,-0.11800184378116371,carrier
WN,2100,0.3304761904761905,0.16056339804779435,0.7570426865512562,-0.16991279242839613,carrier
<500 mi,11699,0.2487392084793572,0.19358786153771215,0.7390200340240984,-0.05515134694164506,distance
500-1000,17689,0.2582961162304257,0.1907636597092919,0.7318807419032825,-0.0675324565211338,distance
1000-1800,15621,0.2457589142820562,0.1706690282051933,0.7138587150813805,-0.0750898860768629,distance
1800+,8982,0.24203963482520596,0.13450868752396247,0.6696557137714491,-0.10753094730124349,distance
dry,49075,0.22915944982170147,0.1558529387109277,0.6945266376888009,-0.07330651111077377,weather
precipitating,4916,0.4568755085435313,0.3793526693291574,0.7367416397357266,-0.07752283921437392,weather
early (<9),12441,0.1615625753556788,0.10324040252259119,0.6752973937712453,-0.05832217283308762,time of day
morning,11622,0.2117535708139735,0.14487619923430217,0.6819623103273195,-0.06687737157967133,time of day
afternoon,17969,0.2782569981635038,0.20764718227985765,0.6974592104248593,-0.07060981588364615,time of day
evening,11959,0.3362321264319759,0.2353042424943169,0.7138654903780848,-0.10092788393765903,time of day
